flyby,cube,date_ddmmyyyy,resolution_km,phase_degs,notes, 0.35054, 0.35895, 0.36629, 0.37322, 0.37949, 0.3879, 0.39518, 0.40252, 0.40955, 0.41731, 0.42436, 0.43184, 0.43919, 0.44652, 0.45372, 0.46163, 0.46841, 0.47622, 0.48629, 0.48967, 0.49777, 0.50628, 0.51222, 0.51963, 0.52766, 0.53416, 0.54156, 0.54954, 0.55614, 0.56353, 0.57131, 0.5781, 0.58548, 0.59312, 0.59938, 0.60757, 0.61505, 0.62207, 0.6294, 0.63704, 0.64408, 0.65142, 0.6591, 0.66609, 0.67342, 0.68102, 0.68803, 0.69535, 0.70288, 0.71, 0.71733, 0.72484, 0.73198, 0.7393, 0.74676, 0.75396, 0.76128, 0.76874, 0.77595, 0.78328, 0.79072, 0.79793, 0.80522, 0.81262, 0.81989, 0.82721, 0.83463, 0.8419, 0.84922, 0.85663, 0.86391, 0.87122, 0.87863, 0.88589, 0.89386, 0.90032, 0.90787, 0.91518, 0.92254, 0.92983, 0.93713, 0.94445, 0.95177, 0.95907, 0.96638, 0.97382, 0.98883, 0.99588, 0.9981, 1.00295, 1.01005, 1.01695, 1.02471, 1.03195, 1.03865, 1.04598
Ta, ,10/26/2004, , , ,4138.59589613585,4055.401556319986,3827.662139017687,3680.79031620154,3426.659410211445,3139.9107280283206,3055.5828494328603,2840.7097095457875,2720.4149539609775,2602.3196362875615,2455.0863612731787,2276.1760242792107,2085.224345607536,2002.4028834601525,1868.268737636457,1738.4546161083158,1651.1159601401182,1512.9221349407883,1480.8276374701657,1387.3398438562608,1334.7640608233662,1264.3416003093919,1217.3929649008899,1146.567267527866,1108.5751548744702,1073.8108071688453,1085.4481836833727,1026.8263415184144,977.2286561764683,953.8700941151826,930.2732814569174,942.9462076922224,899.0618025660281,892.1886261694668,904.9195686195185,886.9873734738599,987.9202535274563,1090.9230920610746,859.3960636290105,828.7777640550959,841.4730728616685,856.9325846094908,914.1095497562375,963.7443167430732,900.3283550471349,866.2184976714009,880.2209181912323,897.9505598985844,1049.80609463899,994.7570452204849,1098.579170938919,1573.3456732993984,1568.9893862482695,1113.1093728174326,895.3274440683679,874.797595850372,971.1806891193486,1055.070544912905,1125.9421486508563,1309.5256435933384,1313.1333937546347,1417.013047633866,1299.5021123279435,1125.2217348712836,947.9624383824414,849.8498598580917,995.5104430997463,1330.4255274745915,1191.5331059296295,1482.8081478853992,1994.7120574477071,1759.7493564838137,1753.2400563787,2773.294586963993,2916.302128900554,2311.45757795504,1760.040860556449,1425.95119332543,1178.8091715976332,1048.8388736704424,893.2480952797969,1026.9338574052,1137.336758724042,1220.931067668309,1928.3996551567677,2144.2085347908346,2244.1256710375783,2549.286199864038,2631.122777475113,2626.0828729964533,2759.343081569428,2468.1559487397885,2212.8885571966607,1898.3666602147016,1533.622416146939,1210.0792483272435 
T8, ,10/28/2005, , , ,4131.983660030107,4016.943625740575,3908.028009066625,3849.8759736034385,3394.7901287490795,3489.3697377225503,3273.2804046031306,3097.6111951312837,2977.0278521386153,2628.4378420834546,2710.0011796475724,2553.3806760150437,2406.2732960282337,2311.8557402018114,2182.2102794940697,2038.1412152117268,1950.5404144324693,1810.5266147412367,1747.9401724634306,1657.1569685075192,1566.435284722649,1492.1442991310455,1433.0028997235147,1357.177071690883,1307.0220399794978,1266.206197955201,1266.1559010312965,1196.0432076471718,1143.8773404627543,1114.1452758055707,1087.4200426439234,1090.405288679455,1038.4850335980452,1023.9730152993615,1037.7834573247164,1002.9261846328111,1109.7764779611448,1212.4497189969475,964.8930293100447,929.4256149699485,937.8482451204308,954.3198880264665,1015.7622399349912,1066.52167548464,987.6256317899262,940.2065504743434,953.7345251898118,968.6756873798653,1164.3995123220866,1090.9417608227839,1217.863914453418,1632.4074488992453,1629.153542929793,1230.9147869069284,960.2313592733873,940.4770246995083,1043.3032207384133,1167.8069958508504,1257.7933864730487,1435.495583740057,1446.1028944741856,1523.971170051277,1437.1135996032438,1250.6927857097312,1004.7518853873613,905.4722481633116,1055.315063277519,1479.5560171512454,1363.6655329525765,1630.841450233754,2185.970356527479,1841.9664978799326,1881.6549708896907,3112.302872228372,3212.825093801893,2743.4399509408386,1906.91274565523,1610.6619504800406,1415.8093154700766,1177.2744480660383,944.8328757378033,1114.4374276161966,1374.2333933325428,1486.5424189251423,2046.7625033109393,2311.709032889727,2426.0991180416145,2826.330314886448,2886.0355491672935,2875.6793087543574,2959.1223359195674,2249.6890135775348,2348.9098294967807,2064.693737095664,1768.2791523355154,1478.4322820037107
T31, ,05/28/2007, , , ,4172.639267971803,4055.16293803711,3937.506369495598,3822.04555878306,3744.0975403481566,3361.592683065087,2823.635713344502,3115.044074819694,2989.0074854124714,2906.9237223215264,2764.620233333948,2576.3561231397193,2354.0706959740774,2337.4980520849567,2183.705276859575,2045.8593411530624,1931.9791800831888,1898.281868802668,1873.1406324604252,1751.3976840341213,1688.2833138022127,1644.3126128449833,1592.2672011689112,1495.5748579203887,1450.3386967427098,1408.2251393038398,1385.4027447273202,1336.527021431604,1267.7673870568408,1233.4094338892544,1199.0464054469621,1202.087389396175,1153.8200493201512,1132.1458381431032,1130.8103697528181,1112.8664822072287,1201.9400726820231,1289.5982522150746,1067.8034236708988,1030.7319813902352,1032.2800029146729,1053.2620144152331,1110.2886750555144,1156.2738056371747,1097.2886213321515,1048.0715483510342,1061.4473979969862,1079.0955909423678,1233.4631291266596,1192.062267723161,1288.0869635496645,1688.01509284083,1666.590417431882,1297.254399218595,1080.677902891555,1063.9718276949782,1147.8833930532796,1227.4899995667681,1295.3499476780216,1457.7426141040885,1481.5503407565784,1567.6390126948022,1476.4121447926075,1304.3878584508986,1143.8568160409097,1061.1382059690065,1189.2270024484085,1504.9930357185015,1392.4230344993284,1666.2419383294452,2175.489485134155,1921.6856574425753,1950.749317237739,3317.7507471444574,3513.3694039258803,2762.1406915317098,1971.9595090980797,1682.6685143026823,1466.3684092490469,1273.2047812584258,1108.165659901786,1237.3114919550492,1418.89748882966,1546.9921619063796,2115.5329898703303,2422.572677180315,2525.002475492623,2994.4127780400336,2950.3815248265923,3002.122677328323,3132.8859654080247,2526.8540172024254,2386.724197639483,2076.3105183448138,1872.1367320568543,1435.1724176745704
T61, ,08/25/2009, , , ,4397.598049191014,4367.208600146943,4156.716357086387,4051.374607572734,4017.6904424658846,3511.825901575226,3102.001094823916,3162.171010208232,3093.4701091934294,2935.934456126777,2816.0303910417106,2618.069815195072,2364.2853831533075,2342.0924529514955,2188.0523759674625,1974.7388311094935,1891.8738454005208,1761.1105355847922,1742.7436936598301,1601.1553434635186,1604.51024684289,1515.5927750800886,1459.8289423968674,1372.2514610442026,1325.5842967645347,1291.747506420745,1294.324261220015,1224.9074114103728,1164.5909545535508,1125.8278145695365,1104.6181703191264,1119.633989453487,1065.0294449317128,1049.0157763745192,1054.1981892595809,1049.8104165894747,1155.9907520739835,1248.635070486674,1016.3573751674,979.4620256811103,991.1842903120481,1002.5910097074401,1061.4385614385615,1107.1312276131553,1042.3351577604917,995.650374442631,1009.4492365792735,1021.237740141051,1166.572883356436,1109.4964191546942,1207.0148865169338,1542.556409170649,1546.5418112127313,1204.0057981141963,1008.6267250483547,990.9185231816646,1062.0928644019793,1167.812344005459,1247.7674748611553,1385.8545015815046,1413.6430412728332,1475.2334339963206,1394.661999562459,1233.7257064893972,1045.189056255764,969.6628615321434,1076.739884978845,1417.5959795866181,1323.630172539086,1528.969474574137,1927.1463119709795,1663.8392274566097,1733.9507557985353,2734.9686658393834,2958.346481539918,2443.137179757411,1752.661640078904,1527.4674589530557,1348.0793833726304,1156.4101401296994,1007.4551682450132,1107.0975808832468,1307.953898472002,1408.761946853765,1797.7623146718556,1959.9554206218054,2109.931572023135,2402.2156907076646,2554.4907948172886,2464.601556081767,2555.6684726723875,2065.3291972753855,2030.3517683965792,1653.9431951588108,1558.917927556167,1271.30685359032
T62, ,10/12/2009, , , ,4367.6050451833025,4453.782833549037,4073.9770323553653,4089.9270709866987,4016.8297289506313,3441.0726430676555,3017.5407870929726,3092.911047878263,3094.772867944221,2932.692971197505,2793.862268068345,2641.999714042384,2245.1926463337327,2313.848610783442,2201.8823935756845,1958.1192840194428,1884.5892334525672,1781.9955554934381,1718.6415318150875,1487.5570230192159,1600.5623936881352,1522.8062632125839,1470.0626073722199,1372.1480843736547,1331.787415392329,1298.807134780527,1304.801670146138,1238.2668149349545,1164.277234955712,1151.569069306394,1110.7626365584654,1131.0611571420966,1074.3084402726638,1043.2391963376167,1066.0490549788672,1058.1966668879888,1162.1971450968954,1269.0544797623136,1023.1143601121815,983.4130990624795,996.8452778852807,1012.431065355403,1064.5937009451923,1103.0843102478696,1050.18223750592,998.4494667105201,1013.3967070568178,1037.5554380111487,1200.0,1138.1591280362068,1245.007762989581,1615.703369533537,1609.919630286692,1223.3795019166278,1027.678816114004,1007.705986959099,1089.4223498199249,1189.1992724898569,1274.9936250318747,1441.22351398552,1458.0676886482283,1531.2832153344502,1443.998346480325,1260.809588086091,1064.0828231995092,986.4374521287707,1102.5024644172734,1482.6702018175793,1371.225768289732,1608.0718902727417,2050.79538691673,1802.948350832538,1847.3441710858037,3012.549928584846,3197.8931527464256,2680.1508031518574,1813.217287426938,1611.231865743315,1398.9927252378288,1183.333101307235,1014.4570069142208,1133.8473441293388,1344.355289379066,1465.1214901721949,1930.165842876931,2156.885964170318,2291.722836344028,2671.541793914123,2802.9647672824763,2608.607586649249,2901.6643036119463,2401.55960105857,2169.2896639727774,1605.2880075542967,1428.4833987821478,1403.651696216746
T67, ,04/25/2010, , , ,4478.366853762882,4514.153197967747,4321.762872497827,4117.831340087653,4017.215738663575,3574.086610630595,3019.216424537349,3157.2730570698773,3194.8361424921973,2969.249059446695,2770.347933972288,2709.079879610615,2475.127396263043,2388.177118453585,2247.408869773673,1992.4054193427407,1867.3384203049252,1854.828737479906,1775.4321958963146,1579.2309454948565,1671.9886173637656,1577.521250139193,1517.0534657235157,1428.4753966119924,1373.0198899430331,1341.3992635455024,1330.9254890498758,1273.5163534482328,1213.1476662369112,1178.6511608558394,1145.8047818252894,1155.372709643511,1102.9554881767497,1094.9704357982334,1084.6771277749656,1075.9539069785105,1178.9781264881708,1273.2874284087902,1041.743265436184,1003.842156646616,1008.6307145851957,1015.0627348576523,1066.3789534431494,1099.8917361467559,1058.2845000747025,1012.6521956682313,1021.9171165105738,1044.0593025683859,1198.736390816269,1147.1552798384087,1245.9567481994702,1602.8663020931547,1600.6025797947461,1255.2301255230125,1027.840366314245,1004.7004219741772,1081.7873672689323,1188.3015210259468,1269.2882030861126,1431.4664391289948,1454.3173263374017,1520.0376730905646,1425.743902848133,1260.379596678529,1063.9807064831891,988.1920735369912,1102.1688954970998,1462.1643472726334,1357.14817929258,1583.8902829883973,2001.16145841508,1786.6276177597792,1764.8890888327508,2824.965158763042,3120.044634991484,2626.0909863288794,1782.3941397676597,1556.9096259753583,1389.3050750497152,1177.75837940447,1020.0734452880607,1124.3634118917967,1345.4973327494051,1447.3340674060366,1872.9755337980273,2105.2283966415416,2249.3913411665076,2670.9793381417944,2719.0863869739765,2546.6893039049237,2864.380030216401,2457.54707889208,2193.340845167339,1736.820596648958,1402.5939737962444,1360.9944332659063
T79, ,12/13/2011, , , ,4562.574365489045,4504.942186575272,4143.289576945762,4314.830325642783,4490.2113392803685,3996.4830948765084,3789.522490444459,3619.403408768324,3607.228036225057,3473.6695845491176,3198.346392202557,3008.1574151080285,2720.121861459393,2755.731922398589,2608.3114098792607,2361.2641560101115,2147.6216143376905,2102.3818749948473,2074.8576078112287,1956.1365153153981,1873.4433889488878,1795.6608383975663,1717.2526651087928,1612.6380228425435,1548.4200043720095,1507.199092134194,1487.2620380739081,1413.6822264109103,1349.9348854937584,1310.7170393215113,1262.0950778291965,1266.6213000998396,1210.4411227197427,1192.8317826520158,1181.9673498901466,1166.0607723437822,1249.5344871518453,1347.12507660123,1107.1120006599256,1072.9613733905578,1072.7717898881792,1090.6011564649125,1141.1234024272367,1184.7955879141557,1123.5707519111718,1073.81532902965,1087.3690359940472,1112.79849183075,1262.5262407414743,1218.050069022837,1323.437824372016,1673.5138540695918,1666.732028707008,1334.680226319894,1109.7426702584612,1083.6354055558625,1164.665421312007,1259.2716965105828,1325.5567338282078,1489.694817030425,1512.6259780165024,1574.871231116985,1492.3800828709882,1322.0998055735581,1154.4677903486493,1084.5710202623386,1191.2937450070776,1519.6662693682956,1425.7997058938645,1623.118296680564,2048.8016518965474,1809.24203401375,1797.876390710267,2951.1122221180653,3250.606461185847,2705.294739209587,1852.982211370771,1591.4622729825874,1447.1205139264068,1267.0681533599668,1137.9407289068183,1228.382870080447,1405.833935177273,1466.014338195135,1878.300837501197,2070.0572309940335,2240.2024088764724,2685.491081536775,2732.164324148261,2596.1887948491612,2725.35186430099,2469.4466502682494,2080.409881539014,1836.5539046576448,1508.2777833639918,1341.145285479867
T85, ,07/24/2012, , , ,4201.119969158837,4103.98037814558,3609.6432681568594,3741.9273420429745,3911.504886313261,3455.720029759848,3316.654679019363,3248.9249880554225,3107.3990217176724,2976.899261728983,2809.149675901241,2593.2528645274533,2478.326789254753,2423.0100436141806,2248.003244177231,2110.857256382239,1953.843324751747,1837.3875951118287,1836.7920247210595,1689.692873471822,1676.2751194756872,1573.3165512901196,1506.0863607637925,1416.9421832022892,1371.4765154815495,1325.0883392226149,1285.6645877554313,1244.7403618045319,1178.13383600377,1140.2253621892326,1097.4822466107166,1100.2571581436289,1058.6315837543643,1043.4398323949194,1024.1704219582139,1020.6246222688285,1082.1821885543318,1150.9245760761144,959.0864983187778,932.2628761954901,929.7543260921879,944.7838667965899,984.7156681778512,1019.1561387171422,969.5891223507402,935.2272602242346,943.5707678075856,953.2710280373831,1084.4372621148652,1042.190316212803,1134.4577069717986,1445.0293822641058,1452.0151692878862,1147.217210957499,956.5034734204564,934.6719301525166,1000.1333511134817,1089.9671727533853,1157.6438542730677,1314.2568521744508,1325.8462018405864,1390.7295603658438,1316.659093725474,1156.7616118452388,994.6057265887363,931.4047775586237,1032.5558794946548,1341.4768871423385,1258.0167735569808,1455.4462226889798,1847.5449388136587,1511.272313491217,1630.8831712043593,2700.7104457125424,2953.706728196432,2394.411162650942,1676.925505050505,1403.0801736518051,1298.0468213124016,1114.5933045724553,984.3887524899245,1071.3205391053002,1261.645482567028,1347.8371178485347,1730.8553819420874,1891.0741301059002,2004.24428200896,2352.789208540163,2357.3132175938763,2395.918482397046,2440.3081487152494,2219.108701516826,1961.327241681665,1681.725252258788,1436.7978002907403,1281.8450525807814
T92, ,07/10/2013, , , ,3445.699159384531,3476.392567881677,3281.2958416330816,3144.4330587195127,3103.5943273598273,2614.405889077422,2329.745829298153,2728.1801754380335,2680.573411444892,2619.597465462405,2536.3039586234336,2324.034158745204,2102.4858803644306,2152.4436566219297,2020.7623424994058,1874.9724268760751,1773.4072368924342,1690.9926458398268,1629.507505319863,1442.4382297040456,1605.8440127208037,1514.5035991732593,1457.2760938142917,1394.9137615080385,1351.1150673173213,1309.8148794970311,1279.9277217286553,1229.3837171742496,1178.9563231357463,1150.0369815813685,1105.1208265437022,1109.7378407547958,1077.6180836992305,1056.6575642178454,1045.3304474014315,1028.1594735823496,1058.1747108693216,1112.5605909223782,975.8561702811613,947.1772261450631,934.8843859642692,945.842189012652,975.2403680671883,1004.9498707358597,971.7913735413601,949.6640796079191,952.26358656076,966.8942975986896,1049.1064081887898,1009.9609877814523,1067.1242048878473,1279.7992471769135,1270.74301091344,1021.8188375308048,925.7410466319362,910.9680553868577,955.0776421942065,1015.325441666567,1062.5132814160177,1165.0911284021802,1183.5198344000482,1235.9621359364473,1189.121635485255,1075.427535162263,960.3326140253753,851.2797572350433,968.9038847346344,1181.5018510195666,1122.1220868830528,1263.6962371586162,1493.5426245350982,1398.2562921533147,1416.1159549064253,2093.046161927901,2211.66021960485,1904.0792096951236,1456.1360430787856,1313.4783482108364,1190.2483651588632,1060.586525144219,976.5737198267444,1040.0649326812875,1184.0858856962425,1262.9764640621286,1532.2861709670829,1659.9617232355583,1736.785108600151,1920.889484824973,2035.489355588017,1979.8905237004544,1877.0979329839233,1794.3215001935055,1644.1959881617888,1453.0659691950013,1216.6436856192715,1160.8638648117123
T108,1799667362_1,11/01/2015,84,53, ,3955.6471128429775,4049.540972620339,3711.0233401538544,3616.94432033361,3834.459611862465,3131.0395296810266,3024.4410417835425,3297.7862155122693,3097.863324699811,3027.6693357649674,2831.323093936638,2582.5295421124483,2418.64347298233,2431.071959730008,2182.6211996713228,2077.7316059643117,1855.4360638561054,1857.5580760069056,1811.3239712745328,1648.2983743253287,1696.730965007419,1603.5214588901117,1551.0477175268393,1460.1215050130838,1402.5245441795232,1359.238826257296,1330.0091796712009,1272.7091235775604,1218.2362805096527,1175.8033503478994,1130.5195956729915,1129.968538130899,1083.6169860149666,1065.5768531635097,1045.2533202164288,1039.7256755158874,1092.8633877907873,1156.609456076055,969.4601057661965,940.5290568153318,942.7544697653096,949.3953654613689,985.671048715342,1024.0305843801202,976.2895636559938,944.2486002903102,951.361192671161,967.9219285559744,1096.269673741547,1043.0002413216243,1130.6749907994094,1480.0025537298966,1467.0011045655374,1131.9699384297135,940.6782474610909,915.9055072859385,994.0551603157587,1083.1751048131205,1160.1825353855675,1307.4375249951293,1347.9867421539243,1419.2923575280936,1301.0867901423542,1152.7716246394762,976.4091882019138,899.5819589720071,998.2344950695045,1346.1863333051776,1251.1959961728123,1484.87177695479,1906.3995215311006,1710.3648107531642,1731.5605774584765,2711.6697505263833,2885.9146991518805,2244.639273265026,1742.7198731573299,1506.9407920008036,1314.6701724537932,1081.2873680193359,936.845585804034,1037.4583490986317,1265.3328569727282,1403.520359301212,1851.5829218704616,2088.366569755538,2160.0650560769827,2578.521021013429,2623.91570542173,2587.266993778384,2459.727983023054,2116.410899101148,1900.6163959841092,1718.016263887298,1518.5531463825682,1246.9742536492333
T108,1799689122_1,11/01/2015,28,52,higher resolution overlay of NSA boundary; may show evidence of tilt that we can use as a test?, 3955.6471128429775,4049.540972620339,3711.0233401538544,3616.94432033361,3834.459611862465,3131.0395296810266,3024.4410417835425,3297.7862155122693,3097.863324699811,3027.6693357649674,2831.323093936638,2582.5295421124483,2418.64347298233,2431.071959730008,2182.6211996713228,2077.7316059643117,1855.4360638561054,1857.5580760069056,1811.3239712745328,1648.2983743253287,1696.730965007419,1603.5214588901117,1551.0477175268393,1460.1215050130838,1402.5245441795232,1359.238826257296,1330.0091796712009,1272.7091235775604,1218.2362805096527,1175.8033503478994,1130.5195956729915,1129.968538130899,1083.6169860149666,1065.5768531635097,1045.2533202164288,1039.7256755158874,1092.8633877907873,1156.609456076055,969.4601057661965,940.5290568153318,942.7544697653096,949.3953654613689,985.671048715342,1024.0305843801202,976.2895636559938,944.2486002903102,951.361192671161,967.9219285559744,1096.269673741547,1043.0002413216243,1130.6749907994094,1480.0025537298966,1467.0011045655374,1131.9699384297135,940.6782474610909,915.9055072859385,994.0551603157587,1083.1751048131205,1160.1825353855675,1307.4375249951293,1347.9867421539243,1419.2923575280936,1301.0867901423542,1152.7716246394762,976.4091882019138,899.5819589720071,998.2344950695045,1346.1863333051776,1251.1959961728123,1484.87177695479,1906.3995215311006,1710.3648107531642,1731.5605774584765,2711.6697505263833,2885.9146991518805,2244.639273265026,1742.7198731573299,1506.9407920008036,1314.6701724537932,1081.2873680193359,936.845585804034,1037.4583490986317,1265.3328569727282,1403.520359301212,1851.5829218704616,2088.366569755538,2160.0650560769827,2578.521021013429,2623.91570542173,2587.266993778384,2459.727983023054,2116.410899101148,1900.6163959841092,1718.016263887298,1518.5531463825682,1246.9742536492333
T114,1826053334_1,12/11/2015,85,26, ,3994.304591570607,3870.985370711366,3982.253205713831,3911.51088627167,3729.525999183892,3447.553251177914,3509.3465596705896,3214.076394184412,3175.765546306398,2989.9782962751906,2804.4691139967204,2590.4446117228285,2476.0647078243646,2380.085683084591,2225.2085587629585,2120.9525156160325,1905.758379731699,1857.138695487517,1772.790789830438,1707.570228010848,1573.452463224405,1498.5543358172115,1426.6771849141476,1369.9218875911938,1314.9006605442141,1261.5456160053034,1246.9254729759466,1179.6271453023085,1132.6034333429568,1095.7138253303256,1073.191672032625,1061.7611911711435,1023.9277869908971,1020.5265917213281,1016.6126466613246,977.2024418564548,1079.2417374522277,1128.0240999031225,940.6470175956324,903.1120177647446,906.3572967093899,919.9399694074865,965.7773939917284,1003.3839615959708,943.1450002219165,909.2886510078841,919.9466070204553,926.2252507164626,1059.3088321431687,1021.1559485337402,1117.367394781237,1486.5597509575193,1467.575220424043,1116.56500816625,931.1122957942936,918.4654783044045,979.917456364852,1061.5180957614207,1141.9256897455073,1301.8706093775527,1321.7366064023886,1407.6343462780492,1314.419438974856,1131.5228966986156,960.1482016988975,895.5852913286271,999.658939891096,1333.8633914653665,1243.9024390243903,1521.497869902982,2061.4056361255275,1648.7140030775995,1814.0944467367642,3153.9888682745823,3395.9655928756633,2722.0295452289224,1843.1247831617902,1555.855201742558,1314.6905063878492,1086.0954230661114,953.1890715938442,1065.5278750449193,1279.4332361633058,1411.9054078745564,1932.5941476501928,2164.685908319185,2298.7676802278934,2818.8101967971684,2965.799102584083,2864.7790581280524,2799.8625322395937,2015.7624720362362,2201.5592219430705,1944.8575677840063,1523.5250186706498,1349.813408146521
278TI,1875632672_1,08/06/2017,175,45,non-targeted flyby of Titan,0.0681,0.0688,0.0657,0.0662,0.0722,0.0708,0.0727,0.0713,0.0673,0.0749,0.0632,0.0595,0.0625,0.0598,0.0679,0.0684,0.0691,0.0731,0.1029,0.1254,0.1943,0.1917,0.1965,0.2034,0.2171,0.2263,0.215,0.2314,0.2162,0.2012,0.1966,0.1906,0.1893,0.1892,0.1596,0.1365,0.1758,0.174,0.2104,0.2253,0.2317,0.2333,0.2387,0.2645,0.2973,0.3337,0.3313,0.3213,0.2537,0.257,0.216,0.1681,0.1691,0.2073,0.2601,0.269,0.2404,0.2169,0.1986,0.172,0.1754,0.1687,0.1683,0.1934,0.237,0.2504,0.2105,0.1544,0.1606,0.1358,0.1166,0.1289,0.131,0.0931,0.0922,0.1115,0.1496,0.1742,0.1862,0.241,0.2862,0.2288,0.1765,0.1503,0.1132,0.0966,0.0802,0.0614,0.0557,0.0487,0.0421,0.0352,0.031,0.0307,0.0292,0.023
283TI,1878426837_1,11/07/2017,154,47,non-targeted flyby of Titan,0.071352,0.068581,0.076388,0.076217,0.076429,0.088144,0.11861,0.091423,0.088548,0.093806,0.104308,0.110486,0.103298,0.108728,0.118383,0.121125,0.131243,0.141696,0.158319,0.168625,0.195364,0.204274,0.214267,0.230687,0.238306,0.246186,0.242858,0.254783,0.261841,0.265555,0.266854,0.269125,0.279926,0.281458,0.261197,0.290181,0.26842,0.252931,0.309579,0.324493,0.32829,0.328475,0.321646,0.313814,0.303912,0.29509,0.296179,0.308731,0.317197,0.329413,0.280839,0.205777,0.211318,0.271614,0.353849,0.35742,0.325404,0.290108,0.265323,0.226764,0.225804,0.213445,0.227977,0.267644,0.333647,0.361354,0.312416,0.219329,0.232963,0.193232,0.158557,0.18472,0.174949,0.119161,0.115453,0.149988,0.187315,0.217529,0.246591,0.323892,0.388877,0.339515,0.253075,0.218624,0.170933,0.156144,0.137055,0.116158,0.118169,0.106243,0.107126,0.102424,0.112927,0.132877,0.138304,0.172458






